naAromAtom,nBondsD,nAcid,SaasC,SpMax3_Bhm,ETA_EtaP,SpMax1_Bhm,MDEO-11,SpMax4_Bhm,MLFER_S,maxHBa,ATSC4c,SpMax4_Bhv,VPC-4,ATSC8c,VE3_Dzs,AATS6s,VE1_Dzs,minHsOH,gmin,GATS2c,minwHBa,CrippenLogP,SpMax5_Bhv,VE3_Dzv,GATS6m,ATSC2m,ATSC8m,VC-5,MDEC-33,maxHssNH,AATS6v,SpMin6_Bhm,AATS8e,GATS8m,maxHBd,IC3,AATS7s,hmin,SpMin5_Bhm,SssssC,ndsN,ATSC1m,SCH-6,GATS5m,ETA_Beta,SpMin4_Bhm,AATSC5s,ATSC7p,apol
0,11.0,0,0.0,3.742588405,0.86891,3.941324977,0.142857143,3.412126922,3.296,10.9738048,-0.129156761,3.372629024,1.585460819,0.031882155,-18.10204359,3.076605903,0.001945796,0.332843404,-0.46526644,0.954041237,0.020745727,4.29191,3.043588112,-4.073399317,0.841979269,154.581848,-516.1451921,0.10987191,13.22441154,0.308420139,194.3289872,1.355249716,7.707794848,1.095415879,0.452817699,5.29366069,3.486111111,0.088238261,1.42025371,0.0,2.0,29.80040655,0.290263604,1.076227412,35.0,1.575588553,-0.174159796,-0.699097611,60.188653
0,10.0,0,0.0,3.720232514,0.78012,4.044582101,0.0,3.388382022,2.563,10.8161731,-0.058529442,3.337996592,1.470025553,-0.065070183,-2.813698509,2.884972786,0.309630887,0.35345658,-1.149976855,1.049447511,0.25841695,4.77829,2.93882634,-3.322736682,1.206490155,-253.0977761,-289.8973232,0.121632169,8.857542076,0.269894298,214.5913932,1.063924474,7.441783333,1.152540074,0.35345658,5.131556065,2.93996744,0.103214443,1.305973895,0.0,2.0,80.97378934,0.324284295,1.011277782,30.25,1.520682981,-0.15365052,-0.155352341,50.443895
15,3.0,0,1.621589364,3.776700431,0.7226,4.12689685,0.25,3.623027406,1.826,13.39450955,-0.074404311,3.308822458,2.088251721,0.110880983,-6.149456008,4.404245709,0.111221198,0.0,-1.020017668,0.789298875,-1.020017668,3.67621,2.982021297,-3.882902186,0.845924851,301.9001156,128.7673729,0.212535946,12.8626633,0.530459845,202.253234,1.336662072,8.275682258,0.857642002,0.530459845,5.136248673,5.994517931,0.187098647,1.398806218,0.0,0.0,3.275047815,0.583481208,0.85588695,39.5,1.455096619,-0.061471403,-0.583674459,52.733102
0,15.0,0,0.0,3.778519071,0.89423,6.879516245,0.75,3.721516224,2.911,12.4750939,0.235499212,3.662258699,1.973834921,0.257352471,-12.66168654,3.149588477,0.024136611,0.0,-0.816102506,0.530335034,-0.816102506,5.49097,3.433181595,-8.575823615,0.477142159,5.091640208,806.9212103,0.136993912,15.12722548,0.623976444,242.8582175,1.311867428,7.661419736,0.894121745,0.623976444,4.656888516,3.035348584,-0.030529087,1.471245647,0.0,0.0,0.544151919,0.534651353,0.33984073,44.0,1.770500595,0.01359115,-2.827235755,68.278274
0,15.0,0,0.0,3.771156896,0.84174,4.008401133,0.75,3.721416492,2.832,12.47314346,0.227585569,3.66225781,1.814088338,0.270808209,-10.8434627,3.155829904,0.041202608,0.0,-0.817764425,0.530212514,-0.817764425,5.38187,3.431924285,-8.869283078,0.764882943,-43.14147587,427.7859334,0.136993912,15.12722548,0.624126478,241.7407351,1.3156008,7.685433713,0.946917527,0.624126478,4.656888516,3.04691358,-0.02992895,1.471280656,0.0,0.0,28.46336825,0.534651353,0.635319186,44.25,1.770577804,0.015171269,-4.135031921,67.408274
0,12.0,0,0.0,3.983702118,1.03826,6.879516345,0.0,3.738751598,3.312,6.665633506,0.036041297,3.534785243,2.498950901,0.066432566,-11.24583898,2.881087697,0.026577508,0.0,-0.193990864,0.971168992,0.763486513,6.22768,3.237072806,-9.41788151,0.558445518,-90.39618286,1454.267556,0.16003225,17.26143697,0.357040539,232.2435362,1.188205599,7.499778397,1.141044482,0.357040539,4.916290979,2.62495772,-0.414995493,1.306362581,0.0,2.0,-6.557494943,0.492096557,0.255877086,38.25,1.588778219,0.034940543,4.059586572,64.210688
0,13.0,0,0.0,3.786739622,1.02349,4.724812832,0.430674364,3.759597596,3.435,13.3341335,-0.08243061,3.672610423,3.039059192,-0.192912,-1.900724932,2.874106067,0.58096529,0.0,-5.543108181,0.879582647,-0.355093479,5.85561,3.373486534,-11.48076129,1.181420665,390.2561563,-601.6055033,0.308778813,14.06085556,0.309902423,184.3463585,1.446367368,7.743335053,1.008289024,0.309902423,5.42141405,3.122062923,-0.065021474,1.576063557,0.0,0.0,535.3349093,0.400859781,0.981997008,39.75,1.674390301,-0.113928412,-2.657379294,76.258204
0,11.0,0,0.0,3.751019806,0.87556,3.943052486,0.0,3.464711274,2.583,12.9996278,0.029731002,3.388892386,1.617650638,-0.346757048,-6.259309119,3.144468186,0.124128697,0.345497725,-4.422062524,0.78361464,-0.733258674,5.71531,3.118598048,-7.14956274,0.783945053,330.9755415,-229.5652882,0.13037168,10.89540492,0.328810587,206.0482532,1.293178556,7.754902102,0.989094025,0.345497725,5.103308012,3.632565492,0.048652998,1.418574634,-4.422062524,2.0,12.20368769,0.305555556,1.053592892,35.5,1.580971914,-0.331019689,1.446589669,58.255274
0,10.0,0,0.0,3.860433861,1.04791,4.003601565,0.0,3.542453151,3.008,13.44503303,-0.085705938,3.328427703,2.032551719,0.058865854,-7.839667222,2.907144082,0.079744707,0.0,-0.195842432,1.144885382,0.100925795,7.13958,3.130427404,-6.887122834,0.772202669,384.8599799,1267.174243,0.144347958,12.87407532,0.0,200.4933159,1.402059407,7.592929615,0.952651812,0.0,4.726928706,2.501415352,-0.16749201,1.64122449,0.0,0.0,80.62132542,0.267583143,0.604815929,34.5,1.649694128,-0.018365656,-2.120009177,67.202239
0,13.0,1,0.0,3.785949489,1.00867,4.724812832,0.861348728,3.755564107,3.385,13.29915618,-0.065728911,3.671632257,3.005231739,-0.24260169,-2.010864924,2.980395143,0.553534687,0.626296765,-5.549350438,0.659712182,-0.943056442,5.76721,3.373486427,-13.43740954,1.201401737,313.0675576,-558.0737164,0.31010444,14.06085556,0.312124645,190.0118066,1.429544402,7.747734906,1.006077778,0.626296765,5.402479554,3.312806528,-0.059465919,1.574469572,0.0,0.0,475.2012313,0.400859781,0.960790101,39.0,1.673255513,-0.120006689,-3.924057781,73.164618
